Id,saleprice
1461,125753.2756
1462,153946.95
1463,189411.3408
1464,196153.0341
1465,215948.1683
1466,188716.3929
1467,183936.7321
1468,181873.7667
1469,186754.6043
1470,119448.5049
1471,185934.6571
1472,108968.7497
1473,105613.418
1474,154355.4644
1475,135394.3525
1476,359660.8353
1477,260616.4766
1478,297741.3983
1479,276660.4421
1480,485068.6937
1481,318081.6132
1482,230001.0004
1483,182848.0934
1484,176137.7255
1485,178658.099
1486,210782.787
1487,315525.125
1488,239484.9595
1489,209364.6573
1490,211966.0933
1491,200002.5558
1492,115646.6005
1493,172521.1995
1494,302371.5157
1495,318322.836
1496,240296.2082
1497,208607.0035
1498,166988.8922
1499,168117.9734
1500,173002.1742
1501,188156.4965
1502,161563.7804
1503,285439.0152
1504,247790.3185
1505,233687.2261
1506,190571.7174
1507,243150.8408
1508,202126.5431
1509,167922.8609
1510,143114.5903
1511,149072.522
1512,152897.2733
1513,151434.8503
1514,158382.8579
1515,193217.2816
1516,159728.7366
1517,152542.6407
1518,130492.8371
1519,207046.1674
1520,137331.3701
1521,139986.4453
1522,175200.3739
1523,119528.9314
1524,122855.4835
1525,131714.6413
1526,131809.5165
1527,110804.3595
1528,138489.8485
1529,141346.6258
1530,169395.7009
1531,130281.3352
1532,106131.8409
1533,136285.9241
1534,118156.7533
1535,154166.7805
1536,118743.0739
1537,93979.79302
1538,171201.8595
1539,229902.4591
1540,125364.6267
1541,145069.0991
1542,160596.2481
1543,199453.3902
1544,93801.64093
1545,111500.1533
1546,126353.2089
1547,135314.9549
1548,134823.7792
1549,115317.9444
1550,155648.3589
1551,132004.9522
1552,138492.9652
1553,126377.5134
1554,114067.9425
1555,195394.2948
1556,134064.4217
1557,133194.9517
1558,111926.7773
1559,120425.7359
1560,154076.1984
1561,145375.5119
1562,127724.2316
1563,125519.8346
1564,158825.6366
1565,146354.8712
1566,234096.3406
1567,100616.5712
1568,230711.3932
1569,143102.9264
1570,127183.7963
1571,132309.3596
1572,145505.8613
1573,208989.8666
1574,130034.0116
1575,212018.2647
1576,224461.5477
1577,205177.2061
1578,160530.325
1579,147569.4069
1580,212950.5927
1581,141328.632
1582,130770.2216
1583,320009.5221
1584,246519.0298
1585,143174.9071
1586,83232.52111
1587,100648.9308
1588,147411.0699
1589,106146.2859
1590,141494.0062
1591,101970.2674
1592,144351.6395
1593,123727.1555
1594,142980.5454
1595,130679.3987
1596,240527.1872
1597,195149.1913
1598,196708.1315
1599,196445.5416
1600,199364.1595
1601,77636.16586
1602,115579.7538
1603,94314.46901
1604,274033.9782
1605,242125.3909
1606,172703.7559
1607,192202.5975
1608,210121.0612
1609,203529.7478
1610,172925.6446
1611,154351.1477
1612,167056.0415
1613,168896.135
1614,130553.5038
1615,87177.60318
1616,84347.48537
1617,93763.61966
1618,129995.328
1619,131946.3822
1620,181574.191
1621,145438.6168
1622,150744.9159
1623,270435.3145
1624,195978.8214
1625,127145.2751
1626,171847.7233
1627,199243.3826
1628,285258.974
1629,190504.8209
1630,372242.8897
1631,247922.9354
1632,272461.0757
1633,177721.315
1634,191944.6594
1635,187810.2654
1636,174865.1991
1637,190513.8937
1638,214600.4115
1639,194401.8241
1640,245507.5364
1641,205418.5089
1642,238235.6855
1643,244954.3428
1644,239019.6684
1645,198111.3613
1646,167169.8516
1647,171638.9753
1648,142433.2418
1649,138611.3945
1650,120065.1392
1651,123212.2356
1652,106926.1134
1653,103425.6285
1654,160684.2499
1655,155412.7644
1656,152426.8901
1657,161277.2637
1658,152643.1137
1659,143855.7132
1660,145941.3072
1661,460144.9281
1662,378569.0392
1663,385717.8643
1664,490416.4041
1665,322296.5162
1666,343111.7228
1667,357834.3939
1668,339239.1773
1669,300142.8843
1670,345972.896
1671,273328.0205
1672,499501.3898
1673,314365.2535
1674,262718.9231
1675,203521.8232
1676,202304.608
1677,225029.8098
1678,474409.0784
1679,372498.0212
1680,328257.0561
1681,268133.5716
1682,304528.0044
1683,196950.6219
1684,182500.4842
1685,182151.0563
1686,180692.7836
1687,173441.843
1688,200577.9126
1689,200063.6272
1690,192179.4457
1691,179335.4047
1692,257525.6176
1693,176166.0925
1694,190174.6274
1695,178688.9626
1696,272298.4668
1697,178944.0401
1698,376179.5263
1699,346833.2471
1700,258750.1873
1701,274361.6097
1702,250953.4485
1703,250913.6695
1704,299796.0263
1705,252612.4347
1706,401421.9702
1707,224541.9597
1708,222362.8092
1709,268355.347
1710,234043.7867
1711,257041.9772
1712,258391.557
1713,273527.3228
1714,234782.4668
1715,210107.7554
1716,184130.7724
1717,171535.4076
1718,143823.046
1719,213625.6124
1720,248935.9717
1721,168844.9465
1722,138630.8703
1723,163150.7974
1724,210632.0898
1725,238291.8236
1726,192469.4497
1727,176362.7297
1728,192661.0923
1729,167324.5626
1730,185492.3632
1731,124232.3176
1732,127725.7523
1733,121250.2278
1734,135627.3663
1735,134502.7467
1736,122471.3695
1737,359958.5251
1738,238714.0785
1739,287775.5915
1740,220011.448
1741,192998.1887
1742,188726.0469
1743,188731.0719
1744,302402.3541
1745,226807.883
1746,268116.0245
1747,216332.5834
1748,211777.0249
1749,168496.9367
1750,161809.6246
1751,235882.0937
1752,124851.9926
1753,139211.2826
1754,217236.0971
1755,174809.9951
1756,123629.0835
1757,119922.3659
1758,149662.7061
1759,164177.1491
1760,162013.1211
1761,164276.8222
1762,169370.5246
1763,172518.9502
1764,124095.1865
1765,167677.1549
1766,170469.6867
1767,187559.0732
1768,141875.6181
1769,166721.7483
1770,144409.0625
1771,137654.6143
1772,139837.3075
1773,138167.5946
1774,138079.7478
1775,136362.2713
1776,124943.6888
1777,119507.0976
1778,136872.2144
1779,118558.6127
1780,170357.0117
1781,130509.2261
1782,94271.36149
1783,125221.9441
1784,96061.45777
1785,113590.454
1786,153812.8837
1787,167108.6097
1788,58249.57846
1789,97250.83999
1790,82211.14242
1791,185337.3884
1792,154290.8381
1793,146353.5318
1794,145331.8205
1795,143514.956
1796,129793.101
1797,131708.8439
1798,123596.5891
1799,113845.2044
1800,130020.6313
1801,127026.6693
1802,151995.1596
1803,152832.8964
1804,140091.474
1805,140459.4925
1806,120172.242
1807,148538.1575
1808,120170.9228
1809,118831.8271
1810,145131.5873
1811,107862.5721
1812,104574.99
1813,123157.1865
1814,98432.22667
1815,76120.23902
1816,92580.04564
1817,116660.2422
1818,141500.0303
1819,118547.4337
1820,74698.58442
1821,124471.4737
1822,150074.9809
1823,59648.96693
1824,147577.1448
1825,153442.2103
1826,107817.2833
1827,114618.1222
1828,150481.4224
1829,124325.7805
1830,143536.2764
1831,160590.4707
1832,133990.9917
1833,159927.2712
1834,126024.2768
1835,146430.9904
1836,145816.0775
1837,88803.61605
1838,129534.708
1839,103137.3049
1840,149777.4275
1841,147401.2502
1842,102609.9335
1843,139027.0107
1844,140498.6173
1845,151120.9813
1846,151396.6873
1847,184269.7874
1848,80002.13597
1849,110397.701
1850,124790.3471
1851,150922.0562
1852,131037.9955
1853,137223.9334
1854,164815.4542
1855,160278.7032
1856,229147.9404
1857,177087.8341
1858,160179.468
1859,136681.1608
1860,160543.1204
1861,136876.8869
1862,287660.6377
1863,287660.6377
1864,287660.6377
1865,302464.8783
1866,312062.7345
1867,248149.3597
1868,299033.8564
1869,208216.1339
1870,252206.6374
1871,242758.4598
1872,178364.4579
1873,230472.9878
1874,143601.1666
1875,213145.5629
1876,213016.4303
1877,218055.3969
1878,218592.0253
1879,134093.9346
1880,139991.3414
1881,249435.3953
1882,261268.6105
1883,206701.6449
1884,227071.872
1885,262098.7965
1886,287722.0995
1887,212274.4874
1888,278990.7258
1889,170258.8503
1890,128857.3524
1891,144966.5755
1892,110546.7968
1893,133087.3776
1894,129735.9381
1895,153699.9831
1896,125424.6215
1897,133258.0508
1898,122275.2553
1899,159769.3752
1900,154753.8963
1901,175817.8424
